n_sites,backend,split,j,g,m,initial_state,t_target,observable_name,method,metric,slope,prefactor,points
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,h_hop_density,trotter1,observable_error,0.5334240629180657,0.17807071389235216,4
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,h_hop_density,trotter1,state_error,0.9252920944751991,1.0551409700117484,4
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,h_hop_density,trotter2,observable_error,2.155472445824706,0.7063253964488235,4
4,dense,swapped,1.0,1.0,0.5,neel_x,0.5,h_hop_density,trotter2,state_error,2.0434795684064477,1.1281716504908377,4
4,dense,swapped,1.0,1.0,0.5,neel_x,1.0,h_hop_density,trotter1,observable_error,1.0174588525293824,0.30443480233663683,4
4,dense,swapped,1.0,1.0,0.5,neel_x,1.0,h_hop_density,trotter1,state_error,0.9218365538037273,1.2221826410065926,4
4,dense,swapped,1.0,1.0,0.5,neel_x,1.0,h_hop_density,trotter2,observable_error,2.2178745217146014,0.49626247025192255,4
4,dense,swapped,1.0,1.0,0.5,neel_x,1.0,h_hop_density,trotter2,state_error,2.0236648539691555,0.9600837154817691,4
4,dense,swapped,1.0,1.0,0.5,uniform_x,0.5,h_hop_density,trotter1,observable_error,0.7838922337152184,0.34688812129989127,4
4,dense,swapped,1.0,1.0,0.5,uniform_x,0.5,h_hop_density,trotter1,state_error,0.98610949700675,0.800832757701045,4
4,dense,swapped,1.0,1.0,0.5,uniform_x,0.5,h_hop_density,trotter2,observable_error,2.2415934125166674,0.10098069943829559,4
4,dense,swapped,1.0,1.0,0.5,uniform_x,0.5,h_hop_density,trotter2,state_error,2.05814215427398,0.53322623205065,4
4,dense,swapped,1.0,1.0,0.5,uniform_x,1.0,h_hop_density,trotter1,observable_error,2.9288127252414404,1.0011418318099556,4
4,dense,swapped,1.0,1.0,0.5,uniform_x,1.0,h_hop_density,trotter1,state_error,0.9740406475103075,0.9536563846751511,4
4,dense,swapped,1.0,1.0,0.5,uniform_x,1.0,h_hop_density,trotter2,observable_error,2.3992020803648466,0.09694593544438752,4
4,dense,swapped,1.0,1.0,0.5,uniform_x,1.0,h_hop_density,trotter2,state_error,2.02429613616385,0.599818894800984,4
