observable,q1_mean,q1_min,q1_max,q2_mean,q2_min,q2_max,delta_q_mean,c1_mean,c1_min,c1_max,c2_mean,c2_min,c2_max,ratio_small_dt_median_e1_over_e2,defect1_response_mean,defect1_response_min,defect1_response_max,defect2_response_mean,defect2_response_min,defect2_response_max,corr_r1,corr_n1,corr_r2,corr_n2,class,split
h_hop_density,0.9728292562056279,-0.04648297669795958,1.5025979124470141,2.18636169709767,1.9140487067438534,2.590814616600377,1.2135324408920423,0.7328623296753857,0.025215994805567434,1.3584027332944433,0.2055784241810966,0.08255246996050175,0.4621731560950822,113.27930389474292,1.867339843959506,1.3801832260586413,2.578294207041244,0.3639354649793069,0.0438641170052043,0.560947111516021,0.48931307669412055,16,0.642473505885774,16,sensitive,original
electric_density,2.053778984874985,2.0068569182223803,2.0764192397287076,2.0537789848747954,2.0068569182222578,2.0764192397286454,-1.8962609260597674e-13,0.5506632200651917,0.2761938201543108,0.9374513360206579,0.5506632200650992,0.2761938201541468,0.937451336020573,0.9999999999997573,1.7850598697277738,1.3042150222721447,2.058271286450135,0.0629905060314627,0.03790661514640844,0.12596243191700957,0.986878151327577,16,0.8686783926874206,16,blind,original
staggered_magnetization,2.0754729281471413,2.0248527436337573,2.109758059265318,2.075472928147038,2.024852743633658,2.109758059265214,-1.0347278589506459e-13,0.4719228066528319,0.17163575799455616,0.7327486151206698,0.4719228066527804,0.1716357579945363,0.7327486151206449,0.9999999999997577,2.367168779746394,1.2715071100583575,3.52634025066395,0.21650128202247854,0.047619673085819283,0.37080214724810334,0.9887544184800283,16,0.946871651232321,16,blind,original
mass_density,2.075472928147141,2.0248527436337573,2.109758059265318,2.075472928147038,2.024852743633658,2.1097580592652125,-1.0302869668521453e-13,0.2359614033264157,0.08581787899727787,0.36637430756033434,0.23596140332638996,0.08581787899726796,0.36637430756032147,0.9999999999997577,1.183584389873197,0.6357535550291787,1.763170125331975,0.10825064101123927,0.023809836542909642,0.18540107362405167,0.9887544184800283,16,0.9468716512323206,16,blind,original
total_energy_density,1.389838343399124,1.246288566542505,1.6564054509514923,2.1391318680012508,2.0581557464858666,2.181242408461641,0.7492935246021268,1.1445717377058002,0.3009607565505571,1.967531739087337,0.711559976635477,0.4282177255080161,1.0457635073956058,12.29536801463265,1.1013044156414646,0.7101460181207384,1.989022515571083,0.4972435687855911,0.029767338401705506,0.7083887138136455,0.8137757789035825,16,0.8162356838925362,16,sensitive,original
h_hop_density,0.7553837163606123,0.5361690450534663,1.0833448350608672,2.197984251582875,2.15686245243198,2.234410104020212,1.4426005352222626,0.23089135598460164,0.027325057964547244,0.4315432107339392,0.4194228198500747,0.24774228413686497,0.7055945232252506,21.18887195769931,1.867339843959506,1.3801832260586413,2.578294207041244,0.060019124670520736,0.023523308096138083,0.11557221820729827,0.4960094902799276,16,0.9590587363599422,16,sensitive,swapped
electric_density,2.053778984874924,2.0068569182223994,2.076419239728729,1.9934919367545272,1.969091354996099,2.0132464906093688,-0.06028704812039698,0.5506632200651749,0.27619382015421357,0.9374513360206755,0.6255712071722155,0.4252623182947915,0.7708898205402386,0.6868962043696981,1.7850598697277738,1.3042150222721447,2.058271286450135,0.35130269458742713,0.04876245129154619,0.526297801184991,0.9868781513275756,16,0.8407551616066197,16,blind,swapped
staggered_magnetization,2.075472928147119,2.0248527436337844,2.109758059265275,2.0294997509558756,1.967680717243917,2.10955369611115,-0.0459731771912435,0.47192280665282493,0.1716357579945467,0.73274861512066,0.5171445302159643,0.12163958069935696,1.097050596344044,0.8838080355470281,2.367168779746394,1.2715071100583575,3.52634025066395,0.6162990065005115,0.06728244253152373,1.1213539026817518,0.9887544184800274,16,0.9758305079808045,16,blind,swapped
mass_density,2.075472928147119,2.024852743633784,2.1097580592652734,2.029499750955875,1.9676807172439166,2.1095536961111505,-0.04597317719124394,0.23596140332641255,0.08581787899727315,0.3663743075603307,0.25857226510798226,0.06081979034967839,0.5485252981720223,0.8838080355470281,1.183584389873197,0.6357535550291787,1.763170125331975,0.30814950325025575,0.03364122126576186,0.5606769513408759,0.9887544184800277,16,0.9758305079808045,16,blind,swapped
total_energy_density,1.1080950068368787,0.22608184907707396,2.235118178012396,1.889498503704216,1.8396198307678728,1.9361887524695929,0.7814034968673373,0.5253604070084494,0.08718551489242342,1.316592201322283,0.4733906466793293,0.32000816013698724,0.5925936252551964,9.845532981504137,1.1013044156414646,0.7101460181207384,1.989022515571083,0.6450019352147792,0.049037116177757384,0.9714025343185688,0.5836612447800534,16,0.810131527007598,16,sensitive,swapped
